	gram_1	Freq
1253	innovativeness	52
1254	explanation	416
1255	conversation	51
1256	self##label	6
1257	iterative	10
1258	leader_information	8
1259	diversity	340
1260	singular	8
1261	attentional	4
1262	murder	3
1263	guilt	10
1264	march	7
1265	ignorant	3
1266	pin	6
1267	african	25
1268	situational_contingency_theory##i	9
1269	pluralistic	7
1270	step	181
1271	computer	9
1272	eating	3
1273	survey##base	7
1274	be	204
1275	hispanic	5
1276	survive	33
1277	keep	40
1278	roles	4
1279	solid	23
1280	repository	3
1281	heroic	51
1282	erosion	68
1283	pygmy	3
1284	infuse	12
1285	embody	55
1286	paraphrase	3
1287	chapter	16
1288	pipeline	5
1289	percentage	38
1290	harness	11
1291	vice	46
1292	fund	18
1293	integrative	111
1294	contagious	7
1295	diffuse	28
1296	bit	12
1297	mediate	497
1298	programmatic	3
1299	surgency	5
1300	politeness	10
1301	firm##level	26
1302	inhabitant	7
1303	uncooperative	4
1304	deviance	13
1305	devanna	9
1306	trait##oriented	3
1307	mindedness	101
1308	application	197
1309	thrive	20
1310	impetus	10
1311	specialization	17
1312	subsequent	205
1313	sociology	14
1314	locke	34
1315	moder	3
1316	maslyn	5
1317	burn	5
1318	dogmatism	5
1319	image##produce	4
1320	few	13
1321	influential	125
1322	bolden	9
1323	learner	22
1324	action	971
1325	connection	178
1326	visible	35
1327	self##governance	7
1328	internet	16
1329	vertical_dyad_linkage_theory	1663
1330	conglomerate	6
1331	malaysian	47
1332	preexist	10
1333	botswana	8
1334	benevolence	59
1335	asymmetry	13
1336	front##line	22
1337	equi	16
1338	ad##hoc	21
1339	validate	113
1340	warm	15
1341	intersubjective	13
1342	altruistic	66
1343	substitution	5
1344	welcome	5
1345	abide	5
1346	linear	29
1347	trait_approach##behavior	11
1348	underlying	211
1349	personalize	133
1350	hawkins	7
1351	glass	18
1352	brooks	5
1353	concert	6
1354	alternate	32
1355	virtue	65
1356	outward	5
1357	universalism	3
1358	dignity	9
1359	boy	6
1360	uniqueness	23
1361	investigate	435
1362	tyrannical	15
1363	self##meet	3
1364	right##hand	4
1365	personnel	84
1366	participate	202
1367	kurt	6
1368	punitive	20
1369	phillips	6
1370	violence	9
1371	mindset	44
1372	participation	359
1373	post##hoc	13
1374	wage	20
1375	cashman	7
1376	pathological	11
1377	knowledge	1514
1378	paradigm	199
1379	low##salience	5
1380	atwater	11
1381	fax	3
1382	helpful	53
1383	news	11
1384	steer	8
1385	correlate	260
1386	resemble	20
1387	sousa	3
1388	comment	97
1389	disagree	31
1390	dement	3
1391	leader##group	71
1392	unrealizable	3
1393	nonleadership	13
1394	trip	3
1395	rosener	10
1396	mutation	12
1397	nonspecific	3
1398	housing	4
1399	tension	61
1400	coefficient	56
1401	korea	28
1402	discern	14
1403	ordinary	21
1404	plague	11
1405	introversion	10
1406	underestimate	16
1407	announce	6
1408	build	378
1409	eilam	8
1410	tall	3
1411	magnify	3
1412	causation	10
1413	deference	9
1414	hypothesize	219
1415	serve	408
1416	considerateness	14
1417	hedonistic	4
1418	diverse	210
1419	transformational_leadership_theory##related	62
1420	undergraduate	17
1421	carroll	5
1422	unwilling	19
1423	cherulnik	7
1424	jurkiewicz	3
1425	gender	462
1426	extend	299
1427	self##protective	16
1428	jackson	12
1429	moral	384
1430	macro	22
1431	ineffectiveness	5
1432	scrutinize	4
1433	willing	141
1434	nyhan	3
1435	linguistic	11
1436	comfor	45
1437	irrespective	21
1438	compose	51
1439	confusion	57
1440	dasborough	3
1441	urgency	23
1442	busy	3
1443	dislike	15
1444	dissent	29
1445	peer	195
1446	father##son	3
1447	non##conscious	3
1448	assessment	361
1449	occam	3
1450	prescribe	56
